Name,07-Apr-21,08-Apr-21,09-Apr-21,10-Apr-21,11-Apr-21,12-Apr-21,13-Apr-21,14-Apr-21,15-Apr-21,16-Apr-21,17-Apr-21,18-Apr-21,19-Apr-21,20-Apr-21,21-Apr-21,22-Apr-21,23-Apr-21,24-Apr-21,25-Apr-21,26-Apr-21,27-Apr-21,28-Apr-21,29-Apr-21,30-Apr-21,01-May-21,02-May-21,03-May-21,04-May-21,05-May-21,06-May-21,07-May-21,08-May-21,09-May-21,10-May-21,11-May-21,12-May-21,13-May-21,14-May-21,15-May-21,16-May-21,17-May-21,18-May-21,19-May-21,20-May-21,21-May-21,22-May-21,23-May-21,24-May-21,25-May-21,26-May-21,27-May-21,28-May-21,29-May-21,30-May-21,31-May-21,01-Jun-21,02-Jun-21,03-Jun-21,04-Jun-21,05-Jun-21,06-Jun-21,07-Jun-21,08-Jun-21,09-Jun-21,10-Jun-21,11-Jun-21,12-Jun-21,13-Jun-21,14-Jun-21,15-Jun-21,16-Jun-21,17-Jun-21,18-Jun-21,19-Jun-21,20-Jun-21,21-Jun-21,22-Jun-21,23-Jun-21,24-Jun-21,25-Jun-21,26-Jun-21,27-Jun-21,28-Jun-21,29-Jun-21,30-Jun-21,01-Jul-21,02-Jul-21,03-Jul-21,04-Jul-21,05-Jul-21,06-Jul-21,07-Jul-21,08-Jul-21,09-Jul-21,10-Jul-21,11-Jul-21,12-Jul-21,13-Jul-21,14-Jul-21,15-Jul-21,16-Jul-21,17-Jul-21,18-Jul-21,19-Jul-21,20-Jul-21,21-Jul-21,22-Jul-21,23-Jul-21,24-Jul-21,25-Jul-21,26-Jul-21,27-Jul-21,28-Jul-21,29-Jul-21,30-Jul-21,31-Jul-21,01-Aug-21,02-Aug-21,03-Aug-21,04-Aug-21,05-Aug-21,06-Aug-21,07-Aug-21,08-Aug-21,09-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,13-Aug-21,14-Aug-21,15-Aug-21,16-Aug-21,17-Aug-21,18-Aug-21,19-Aug-21,20-Aug-21,21-Aug-21,22-Aug-21,23-Aug-21,24-Aug-21,25-Aug-21,26-Aug-21,27-Aug-21,28-Aug-21,29-Aug-21,30-Aug-21,31-Aug-21,01-Sep-21,02-Sep-21,03-Sep-21,04-Sep-21,05-Sep-21,06-Sep-21,07-Sep-21,08-Sep-21,09-Sep-21,10-Sep-21,11-Sep-21,12-Sep-21,13-Sep-21,14-Sep-21,15-Sep-21,16-Sep-21,17-Sep-21,18-Sep-21,19-Sep-21,20-Sep-21,21-Sep-21,22-Sep-21,23-Sep-21,24-Sep-21,25-Sep-21,26-Sep-21,27-Sep-21,28-Sep-21,29-Sep-21,30-Sep-21
ENGLAND,"2,486","2,382","2,321","2,190","2,096","2,108","2,057","1,972","1,885","1,844","1,735","1,691","1,732","1,649","1,609","1,523","1,478","1,401","1,377","1,393","1,310","1,278","1,235","1,161","1,071","1,082","1,096","1,093","1,032",976,973,948,933,944,921,907,845,818,810,801,798,749,757,749,766,730,756,797,765,745,742,743,748,755,773,776,801,779,805,782,807,860,879,876,906,884,915,947,993,"1,030","1,057","1,122","1,170","1,143","1,168","1,290","1,301","1,255","1,274","1,284","1,276","1,331","1,465","1,445","1,500","1,560","1,611","1,636","1,744","1,888","1,998","2,144","2,209","2,352","2,429","2,564","2,798","2,970","3,110","3,241","3,367","3,442","3,546","3,813","3,894","4,063","4,230","4,401","4,476","4,725","5,055","5,163","5,182","5,056","5,111","5,057","5,090","5,309","5,116","4,944","4,894","4,879","4,817","4,939","5,098","5,096","5,073","5,029","5,076","4,973","5,115","5,429","5,437","5,514","5,554","5,576","5,575","5,749","6,000","5,911","5,922","5,893","5,889","5,756","5,855","6,002","6,293","6,236","6,186","6,195","6,043","6,167","6,375","6,244","6,302","6,254","6,400","6,206","6,253","6,424","6,344","6,306","6,081","5,910","5,688","5,695","5,727","5,543","5,406","5,214","5,036","5,100","4,949","5,121","5,126","5,017","4,916"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,200,189,194,182,178,189,183,181,168,182,171,167,176,181,178,170,162,138,141,143,140,128,127,121,101,97,89,92,90,83,70,71,69,72,67,66,63,60,59,59,56,47,43,44,40,39,40,43,39,38,32,37,48,51,51,49,49,49,53,57,63,62,68,57,55,49,55,52,51,47,52,57,60,58,53,67,67,66,65,69,75,77,82,86,83,79,82,86,86,101,98,105,102,108,113,117,142,151,154,164,181,184,206,242,254,277,299,302,284,340,377,354,369,372,361,416,401,381,362,340,326,354,342,359,384,392,395,402,406,408,418,452,467,455,464,465,464,457,499,502,494,492,491,488,510,521,547,535,532,531,503,516,551,547,544,487,546,539,526,550,545,527,512,473,459,458,482,456,442,414,390,373,371,379,371,366,373
London,577,569,561,538,520,520,521,513,498,501,476,467,460,439,453,423,418,403,375,376,368,353,339,315,299,308,316,292,284,283,272,275,274,281,281,275,266,251,258,261,259,245,241,248,254,233,236,244,242,238,234,234,235,233,234,236,241,238,247,234,237,252,249,270,266,262,250,261,285,289,277,300,289,286,272,303,300,280,286,286,266,243,302,301,314,329,323,318,331,364,381,397,411,435,440,467,514,514,540,575,583,590,574,647,662,713,735,794,852,890,957,"1,001","1,023",935,"1,029","1,034","1,023","1,157","1,084","1,042","1,027","1,044","1,026","1,046","1,077","1,068","1,041","1,016","1,025","1,008","1,036","1,086","1,074","1,090","1,098","1,112","1,126","1,138","1,199","1,178","1,172","1,189","1,189","1,154","1,150","1,192","1,255","1,235","1,202","1,154","1,134","1,143","1,177","1,211","1,214","1,190","1,225","1,209","1,214","1,253","1,276","1,214","1,179","1,153","1,124","1,134","1,122","1,077","1,056","1,013","1,000",984,990,999,"1,001",983,948
Midlands,502,491,464,440,433,431,400,364,353,339,332,323,326,300,301,275,259,252,241,252,237,241,232,218,189,213,215,214,201,195,186,179,183,187,185,182,157,155,146,145,144,134,143,137,144,141,151,154,134,135,141,138,126,131,133,139,138,125,135,124,119,116,123,124,133,136,138,145,150,141,144,157,166,166,156,205,194,192,184,189,199,219,229,220,226,229,254,273,304,319,334,375,389,419,441,456,499,525,601,602,634,667,669,730,749,763,815,858,805,854,959,966,971,976,931,901,911,946,925,897,899,873,871,898,921,922,958,967,998,980,"1,002","1,063","1,052","1,067","1,095","1,129","1,119","1,185","1,209","1,199","1,217","1,180","1,204","1,172","1,202","1,210","1,280","1,265","1,226","1,235","1,174","1,211","1,243","1,145","1,264","1,265","1,341","1,271","1,307","1,304","1,296","1,257","1,227","1,209","1,134","1,159","1,178","1,150","1,113","1,068","1,044",998,"1,009","1,011","1,012","1,003",965
North East and Yorkshire,454,437,429,435,391,399,366,348,338,314,282,273,295,270,253,243,222,208,213,219,194,194,180,170,167,168,167,171,160,156,160,155,151,146,140,149,132,129,126,116,110,108,112,104,107,94,105,108,98,94,92,96,97,101,98,92,101,96,90,80,84,98,101,99,99,101,106,98,111,126,124,129,149,163,185,175,187,177,182,183,185,196,217,215,222,254,252,262,286,322,376,420,442,473,511,543,592,643,657,704,732,771,815,850,884,927,943,"1,026","1,050","1,069","1,152","1,168","1,137","1,134","1,111","1,112","1,117","1,146","1,097","1,055","1,065","1,020","1,011","1,029","1,063","1,027","1,048","1,040","1,027",954,971,"1,088","1,090","1,082","1,067","1,047","1,064","1,100","1,135","1,131","1,111","1,108","1,090","1,076","1,078","1,104","1,158","1,154","1,136","1,139","1,127","1,163","1,213","1,195","1,189","1,210","1,200","1,186","1,206","1,221","1,201","1,279","1,163","1,146","1,130","1,147","1,156","1,129","1,120","1,075","1,003","1,161","1,063","1,129","1,087","1,055","1,055"
North West,457,434,422,360,352,351,373,358,330,309,276,275,281,264,247,236,229,216,215,217,202,196,196,188,178,172,181,203,178,166,177,172,164,163,159,158,152,151,152,149,152,142,151,155,153,158,158,174,174,166,173,173,170,171,184,184,196,192,202,210,223,245,246,256,271,272,300,323,328,349,379,388,411,384,412,436,445,437,444,429,442,466,498,479,489,498,514,506,524,561,570,600,596,648,655,703,738,772,771,788,794,754,786,800,807,819,835,830,827,879,871,897,872,862,870,828,864,888,863,840,826,818,816,827,863,864,824,799,815,795,813,835,849,904,882,895,862,880,937,922,898,889,864,854,882,903,949,924,962,975,938,962,966,967,943,933,983,902,887,973,933,972,958,955,916,888,913,859,850,845,829,825,788,870,858,834,793
South East,210,184,172,162,151,152,144,138,133,123,121,116,120,124,109,110,116,115,125,123,120,114,115,105,96,82,84,82,86,62,76,69,62,64,63,50,58,54,55,56,62,57,55,46,50,50,50,56,55,55,54,52,56,54,58,60,58,63,65,63,63,69,74,54,61,46,48,49,44,56,58,60,59,54,57,60,64,56,60,66,65,69,67,68,85,88,97,103,114,113,139,143,170,164,156,158,180,206,227,238,261,272,286,316,315,326,359,337,402,429,446,456,468,455,476,450,466,461,452,453,426,431,427,435,445,474,439,449,436,449,476,496,507,516,548,537,529,562,590,547,603,592,596,545,567,612,625,652,657,691,673,675,704,697,647,655,598,587,601,608,602,571,563,523,478,479,434,456,432,437,432,430,404,405,447,435,437
South West,86,78,79,73,71,66,70,70,65,76,77,70,74,71,68,66,72,69,67,63,49,52,46,44,41,42,44,39,33,31,32,27,30,31,26,27,17,18,14,15,15,16,12,15,18,15,16,18,23,19,16,13,16,14,15,16,18,16,13,14,18,18,18,16,21,18,18,19,24,22,23,31,36,32,33,44,44,47,53,62,44,61,70,76,81,83,89,88,99,108,100,104,99,105,113,120,133,159,160,170,182,204,210,228,223,238,244,254,256,264,293,321,342,322,333,316,308,330,333,317,325,339,324,345,345,349,368,356,369,379,399,409,398,400,400,391,411,427,431,432,427,443,455,467,466,460,479,471,471,470,494,497,521,482,501,514,507,512,512,515,491,486,479,451,447,430,442,416,393,362,338,329,324,328,350,341,345
